VALSE,0,0,2651128007_1,VALSE Webinar ICLR、国庆期间暂停通知,ICLR DDL、国庆期间VALSE Webinar活动将暂停2周，下期活动的日期为：10月12日。,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651128007&idx=1&sn=0179e4a6034c035b046ca2c967430909&chksm=84e72996b390a080a97966c1873072e62f1cc6d48dc54b8e7fead9434df1f4ceb4d87218298f#rd,1663829936,1663829936
VALSE,1,0,2651128002_1,VALSE 论文速览 第98期：基于多面注意力机制的人群计数,CVPR 2022 林卉：基于多面注意力机制的人群计数,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651128002&idx=1&sn=6238d7d9294e503f9ae849f3d16a8ae6&chksm=84e72993b390a08577d910364c58f0ace2ee1a9452ef0d9a4c968e7d33ccac773f1635b61cd1#rd,1663677011,1663677011
VALSE,2,0,2651127996_1,VALSE Webinar 22-25期 总第292期 “眼见未必为实”：人脸安全研究进展,2022年09月21日晚上20:00，中国科学院自动化研究所 万军、北京邮电大学 邓伟洪：“眼见未必为实”：人脸安全研究进展,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127996&idx=1&sn=4d494d24b998c4178f6377e8a727eb0f&chksm=84e729edb390a0fbd0db8e05d0ef773fcf1c426a5298e438cdc26924bcfd2aec1da6b0974761#rd,1663330712,1663330712
VALSE,3,0,2651127996_2,VALSE 论文速览 第97期：Adversarial Sticker：一种隐蔽的物理环境下对抗攻击方法,TPAMI 2022 韦星星：Adversarial Sticker：一种隐蔽的物理环境下对抗攻击方法,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127996&idx=2&sn=7420f8a59c439e48987e2e4f1fd34c57&chksm=84e729edb390a0fbfb18ce17977bf56ffb0fa81f342c0977cef7eb35b7b8efc29eac941b2b62#rd,1663330712,1663330712
VALSE,4,0,2651127980_1,VALSE 论文速览 第96期：标签匹配的半监督目标检测方法,CVPR 2022 陈斌斌：Label Matching Semi-Supervised Object Detection,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127980&idx=1&sn=aa320970047f5ca71ceb8367c64c9279&chksm=84e729fdb390a0eb4c15af2686ca4c26882c3edf00691c66ebd7596ed852e18eba9c47fb948d#rd,1662732839,1662732839
VALSE,5,0,2651127975_1,VALSE Webinar 22-24期 总第291期 视频理解研究进展与未来,2022年09月14日晚上20:00，复旦大学 吴祖煊、新加坡国立大学 寿政：视频理解研究进展与未来,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127975&idx=1&sn=225a30517a12432dd0b86d7f12eee87f&chksm=84e729f6b390a0e0e109239ae4badb27733c41df60ba056074f1f05691cb64a52546c8785ebd#rd,1662639982,1662639982
VALSE,6,1,2651127958_1,VALSE 论文速览 第95期：面向跨模态匹配的噪声关联学习,NIPS 2021 黄振宇：Learning with Noisy Correspondence for Cross-modal Matching,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127958&idx=1&sn=13aef5084801bf0f789e98693186da83&chksm=84e729c7b390a0d1aea9791bec28f2e093c712eff6a47fe80f331dc321cb78f8d585457aca9b#rd,1662454766,1662454765
VALSE,7,1,2651127952_1,VALSE 论文速览 第94期：基于Probabilistic teacher的跨域目标检测算法,ICML 2022 陈梅林：Learning Domain Adaptive Object Detection with Probabilistic Teacher,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127952&idx=1&sn=616d339f0a87558249a78a5274d590a3&chksm=84e729c1b390a0d761ab49c308b11ee56ce1cafe023231dd9cb88774c6628ba348a2471597e3#rd,1662129032,1662129032
VALSE,8,1,2651127947_1,VALSE Webinar 22-23期 总第290期 自动驾驶感知,2022年09月07日晚上20:00，香港中文大学 李鸿升、苏黎世联邦理工 Fisher Yu：自动驾驶感知: Scene Understanding in Autonomous Driving,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127947&idx=1&sn=d3c6ae1c5eab12e4ffe407f7e73945a3&chksm=84e729dab390a0ccee1e4000a580bbc7e1a0329a8aa9f12ab4949062f7f606d37f5ef06d1fcd#rd,1662037535,1662037535
VALSE,9,1,2651127916_1,2022年视觉与学习青年学者研讨会 (VALSE)在天津成功召开,2022年度视觉与学习青年学者研讨会于8月22日至24日在天津成功举办。,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127916&idx=1&sn=8fc28788e74c602d3a456b22a25af2fb&chksm=84e7293db390a02b2fb06b9de8255ed1eac8268f67f54175ab67793fe49ba740d1dab7313c27#rd,1661608358,1661608358
VALSE,10,1,2651127892_1,VALSE Webinar 22-22期 总第289期 就正有道：物理机理驱动的图像恢复与增强,2022年08月31日晚上20:00，同济大学 张林、中山大学 任文琦：就正有道：物理机理驱动的图像恢复与增强,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127892&idx=1&sn=13d3aa6a8cc8f448c0b48e3c336fea28&chksm=84e72905b390a013820c4d07968b7c80a96b7f62684c27ac87f17ea9657167a4f6347604b676#rd,1661515699,1661515699
VALSE,11,2,2651127837_1,VALSE 2022 天津【大会相关问题说明】,后附会议日程表单页，详细日程请扫描单页下方二维码下载会议手册完整版。,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127837&idx=1&sn=16c367102f12edfcb74f7a8606b49e4b&chksm=84e7294cb390a05a81e330bb3b851a5e144f3842403ba343f56459d6b0633f494442362f7001#rd,1660917603,1660917603
VALSE,12,2,2651127823_1,VALSE Webinar VALSE大会期间暂停通知,VALSE期间VALSE Webinar活动将暂停1周，下期活动的日期为：8月31日。,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127823&idx=1&sn=c20186c502edee252d2e772d4efc1d17&chksm=84e7295eb390a048ac3c15e362cd932cbfa6f2fd162d8f58efd22e13a3d45c10620fc95ba0b0#rd,1660832908,1660832908
VALSE,13,2,2651127818_1,VALSE 论文速览 第93期：SEMICON—一种用于大规模细粒度图像检索的哈希学习算法,ECCV 2022 沈阳：SEMICON: A Learning-to-hash Solution for Large-scale Fine-grained Image Retrieval,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127818&idx=1&sn=cb9eadcc73b4e5776ffd53a8392293fe&chksm=84e7295bb390a04dc4cf3e9725c8f417cc8e8e68e4a87730993372ad1cd532ea4af503b02e6a#rd,1660732325,1660732325
VALSE,14,2,2651127811_1,VALSE 2022 关于【确认参会】【天津市防疫政策】【会场交通信息】【酒店预定】通知,2022年8月16日18:00之前请在注册系统中完成正式参会确认，未按时完成确认者将取消参会资格。,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127811&idx=1&sn=cd38bf06956f4a697c8ebf094b87a6b5&chksm=84e72952b390a044ddd42a63aa6c27562a293ad52e7b1dcb00dcfc46e96b3f0b286283b326f7#rd,1660624771,1660624771
VALSE,15,2,2651127772_1,VALSE 2022关于【确认参会】通知,2022年8月14日12:00之前请在注册系统中完成正式参会确认，未按时完成确认者将取消参会资格。,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127772&idx=1&sn=fe8a3804d4f40aefcc455ca3586c8d6a&chksm=84e6d68db3915f9bbd0f8f411208635ddadf75f0c519fcd1b9bd16b09d8ba5b12c2f169a2426#rd,1660287112,1660287112
VALSE,16,2,2651127772_2,VALSE 论文速览 第92期：基于最大熵原理的目标检测搜索方法MAE-Det,PMLR 2022 孙振鉷：基于最大熵原理的目标检测搜索方法MAE-Det,http://mp.weixin.qq.com/s?__biz=MzA3Mjk0OTgyMg==&mid=2651127772&idx=2&sn=77e5d6b32fbdebdc76b96c33ca3474a0&chksm=84e6d68db3915f9bef062192e035b278d9af3c2517fc41e766d0ff7f43094745087223065be9#rd,1660287112,1660287112
