宗室1	10.9	0	5.3	1
乐园1	24.9	7.8	9.3	1
乐园2	11.7	8.9	10.5	1
乐园3	18.7	6.6	8.7	1
角斗士1	21	0	5.3	1
角斗士2	15.5	3.9	0	1
角斗士3	19.4	6.6	0	1
角斗士4	7.8	10.5	0	1
宗室2	6.2	0	5.3	1
宗室3	6.2	0	0	1
角斗士5	10.9	0	4.1	1
角斗士6	7	0	5.8	1
宗室4	0	0	5.8	1
乐园4	0	2.7	0	1
宗室1	12.4	0	0	2
乐园1	7.8	0	9.9	2
乐园2	7	0	14.6	2
乐园3	10.9	0	9.3	2
角斗士1	7.8	0	5.8	2
角斗士2	5.4	0	8.7	2
角斗士3	0	3.5	15.7	2
角斗士4	7	0	14	2
角斗士5	0	11.7	8.7	2
战狂1	5	0	15.4	2
战狂2	9.3	5	0	2
宗室2	0	3.5	0	2
宗室1	6.2	9.7	0	3
乐园1	6.2	5.8	46.6	3
角斗士1	0	8.9	46.6	3
角斗士2	0	6.2	46.6	3
角斗士3	0	3.5	46.6	3
战狂1	0	0	34.8	3
乐园2	0	0	14.9	3
角斗士4	0	0	5.8	3
乐园1	0	7.4	0	4
乐园2	0	0	10.5	4
乐园3	12.4	0	12.8	4
乐园4	0	0	10.5	4
乐园5	14	0	46.6	4
角斗士1	10.9	0	46.6	4
角斗士2	0	3.9	0	4
角斗士3	20.2	0	46.6	4
角斗士4	0	6.2	46.6	4
战狂1	0	0	0	4
角斗士5	0	3.1	11	4
宗室1	0	0	0	4
角斗士6	0	2.7	4.7	4
角斗士7	0	3.1	0	4
宗室1	0	31.1	0	5
乐园1	0	31.1	9.9	5
乐园2	14.8	0	46.6	5
乐园3	21.8	2.7	46.6	5
乐园4	18.7	7.8	4.7	5
角斗士1	31.1	0	46.6	5
角斗士2	14	31.1	0	5
角斗士3	62.2	0	10.5	5
角斗士4	0	31.1	10.5	5
角斗士5	62.2	0	0	5
角斗士6	18.7	0	46.6	5
战狂1	36.9	0	0	5
战狂2	4.4	13.7	3.3	5
角斗士7	6.2	0	14.9	5

